customerid,surname,geography,gender,age,age_group
15634602,Hargrave,France,Female,42,Middle-aged
15647311,Hill,Spain,Female,41,Middle-aged
15619304,Onio,France,Female,42,Middle-aged
15701354,Boni,France,Female,39,Middle-aged
15737888,Mitchell,Spain,Female,43,Middle-aged
15574012,Chu,Spain,Male,44,Middle-aged
15592531,Bartlett,France,Male,50,Senior
15656148,Obinna,Germany,Female,29,Young
15792365,He,France,Male,44,Middle-aged
15592389,H?,France,Male,27,Young
15767821,Bearce,France,Male,31,Middle-aged
15737173,Andrews,Spain,Male,24,Young
15632264,Kay,France,Female,34,Middle-aged
15691483,Chin,France,Female,25,Young
15600882,Scott,Spain,Female,35,Middle-aged
15643966,Goforth,Germany,Male,45,Middle-aged
15737452,Romeo,Germany,Male,58,Senior
15788218,Henderson,Spain,Female,24,Young
15661507,Muldrow,Spain,Male,45,Middle-aged
15568982,Hao,France,Female,24,Young
15577657,McDonald,France,Male,41,Middle-aged
15597945,Dellucci,Spain,Female,32,Middle-aged
15699309,Gerasimov,Spain,Female,38,Middle-aged
15725737,Mosman,France,Male,46,Middle-aged
15625047,Yen,France,Female,38,Middle-aged
15738191,Maclean,France,Male,25,Young
15736816,Young,Germany,Male,36,Middle-aged
15700772,Nebechi,France,Male,44,Middle-aged
15728693,McWilliams,Germany,Female,43,Middle-aged
15656300,Lucciano,France,Male,29,Young
15589475,Azikiwe,Spain,Female,39,Middle-aged
15706552,Odinakachukwu,France,Male,36,Middle-aged
15750181,Sanderson,Germany,Male,41,Middle-aged
15659428,Maggard,Spain,Female,42,Middle-aged
15732963,Clements,Spain,Female,29,Young
15794171,Lombardo,France,Female,45,Middle-aged
15788448,Watson,Spain,Male,31,Middle-aged
15729599,Lorenzo,Spain,Male,33,Middle-aged
15717426,Armstrong,France,Male,36,Middle-aged
15585768,Cameron,Germany,Male,41,Middle-aged
15619360,Hsiao,Spain,Male,40,Middle-aged
15738148,Clarke,France,Female,51,Senior
15687946,Osborne,France,Female,61,Senior
15755196,Lavine,France,Female,49,Middle-aged
15684171,Bianchi,Spain,Female,61,Senior
15754849,Tyler,Germany,Female,32,Middle-aged
15602280,Martin,Germany,Female,27,Young
15771573,Okagbue,Germany,Female,39,Middle-aged
15766205,Yin,Germany,Male,38,Middle-aged
